area,price
108,1355000
130,1570000
199,4963000
92,1306000
106,2654000
122,907000
202,3510000
258,6498000
172,3717000
259,4809000
33,394000
198,2067000
119,2054000
81,892000
231,2470000
175,2598000
143,1049000
521,13403000
141,886000
218,8181000
365,12658000
211,2342000
183,2777000
148,2925000
228,7069000
270,7731000
607,13939000
200,5637000
333,6769000
219,2520000
192,5081000
178,4273000
278,10862000
279,4979000
113,900000
199,3758000
106,3310000
213,5224000
232,6632000
212,5059000
42,1213000
81,626000
169,3410000
167,1769000
203,5503000
219,2129000
108,984000
139,2880000
210,4444000
28,225000
55,580000
313,9162000
139,3599000
500,14785000
117,2940000
477,15114000
168,3263000
103,565000
88,720000
367,13828000
328,15328000
127,4119000
188,2876000
145,3693000
93,3148000
59,610000
194,1516000
108,852000
90,2347000
173,3919000
557,18655000
279,6381000
205,3824000
110,2510000
181,3838000
151,4180000
107,1906000
155,2547000
459,14144000
88,1294000
150,5703000
233,6635000
170,4278000
430,17660000
257,4790000
106,2149000
284,8025000
284,6755000
156,5843000
242,2147000
141,1099000
158,2766000
372,6605000
163,1293000
115,956000
198,5354000
66,694000
175,2097000
256,7322000
211,3685000
441,12160000
142,3173000
94,1177000
214,3232000
46,1086000
70,619000
231,6517000
290,5018000
129,2732000
118,2342000
152,3004000
86,630000
181,2309000
155,3315000
65,2322000
188,1236000
214,4053000
161,3102000
334,9102000
170,4339000
88,2077000
237,4607000
193,4750000
133,870000
58,1049000
210,4792000
171,2463000
69,656000
404,11440000
418,11684000
65,388000
178,3584000
235,3470000
367,8724000
393,9070000
280,4341000
287,6409000
46,1167000
74,1645000
95,807000
298,5687000
417,12442000
223,5202000
126,1348000
310,9286000
185,1970000
78,1880000
241,4217000
193,2132000
88,1541000
89,1229000
136,1188000
159,4312000
249,3196000
217,7119000
186,3744000
251,4583000
113,974000
265,9810000
229,7324000
557,22535000
90,1479000
86,1433000
321,10217000
137,1732000
87,807000
129,1116000
90,1164000
177,2671000
174,3393000
79,721000
230,6009000
153,3493000
542,13586000
125,2052000
166,2498000
239,5957000
253,5140000
262,6543000
195,1770000
42,902000
38,629000
207,6157000
384,14285000
324,9925000
218,6404000
217,2305000
176,4997000
210,3484000
106,2789000
42,1055000
88,1147000
167,1217000
130,2604000
63,1644000
80,1649000
140,2668000
264,7227000
360,9472000
155,1810000
132,2941000
119,1211000
267,6286000
138,957000
82,898000
244,6842000
220,8497000
126,3893000
132,1831000
194,4460000
279,9353000
170,4909000
250,7749000
232,4571000
193,4094000
198,2445000
107,851000
199,5133000
179,5304000
175,4183000
267,6859000
219,5985000
291,7033000
268,8850000
376,9817000
135,2643000
107,2107000
557,10923000
260,5131000
194,5519000
182,2809000
204,6772000
170,2166000
330,7839000
65,1837000
162,1891000
232,7528000
111,734000
182,6014000
279,7707000
89,1977000
232,5269000
160,2004000
86,782000
151,4181000
191,1848000
222,2875000
117,792000
284,6029000
144,3394000
171,4955000
240,6483000
116,2080000
152,4323000
93,3280000
260,4672000
291,5843000
144,3329000
149,3135000
260,8976000
308,5366000
184,4413000
227,8532000
49,951000
133,3176000
421,9857000
95,424000
306,6478000
201,4185000
55,692000
180,4251000
191,4018000
67,1931000
204,6037000
222,6005000
151,3934000
232,2150000
179,5088000
110,1102000
325,5638000
200,5030000
247,5261000
193,4594000
391,12543000
37,791000
190,3973000
205,2159000
143,3063000
138,2905000
376,13385000
73,542000
250,4619000
232,2197000
164,1130000
46,1495000
138,1944000
68,423000
115,2642000
210,8626000
196,3585000
391,13721000
317,12059000
131,2331000
448,8492000
393,10948000
224,8419000
357,12355000
202,2006000
265,4096000
147,1919000
167,3810000
248,9529000
165,1107000
139,2442000
174,4018000
182,6425000
299,10865000
135,1847000
395,12770000
174,2981000
547,15494000
39,305000
129,1650000
363,7939000
158,3550000
208,2059000
165,6298000
101,2071000
48,461000
216,3497000
333,8431000
163,2473000
75,1120000
683,17338000
308,9610000
119,843000
70,1657000
172,1907000
192,3591000
154,2886000
213,4067000
111,584000
131,1931000
297,7846000
191,1924000
525,17071000
136,3622000
139,886000
127,3126000
227,5308000
147,1307000
272,9248000
126,935000
197,6576000
242,5116000
54,1646000
235,6578000
93,2270000
172,3127000
412,7312000
333,8806000
156,2471000
184,2261000
235,6718000
246,5292000
82,576000
138,1624000
148,2157000
230,9871000
296,9034000
190,4726000
284,4833000
115,673000
194,3887000
279,4356000
395,11117000
181,3124000
68,366000
248,6231000
134,1563000
135,1643000
124,1262000
103,2229000
289,7689000
69,1848000
175,2622000
86,1418000
140,1798000
152,2636000
102,1143000
197,1115000
267,5003000
392,17109000
109,1637000
114,2225000
113,1674000
167,1133000
96,2470000
243,7369000
56,1497000
136,1563000
198,6034000
155,2490000
279,7690000
98,571000
120,3189000
173,2564000
190,3785000
109,3053000
144,1142000
160,1795000
108,1193000
57,1407000
182,1615000
210,6678000
270,6060000
198,5173000
133,2105000
140,1168000
211,4353000
173,5176000
149,3807000
151,2130000
122,1797000
113,2006000
282,7369000
206,4943000
454,15378000
153,4476000
245,3141000
184,1660000
103,511000
63,1407000
226,7637000
254,7187000
132,3067000
183,5879000
122,1436000
151,2526000
151,3384000
185,7151000
179,3583000
179,5925000
121,2339000
171,1569000
175,3397000
279,5823000
274,7168000
232,6318000
198,5432000
194,3908000
371,10481000
156,3287000
206,4827000
223,6156000
173,2082000
65,973000
461,8046000
170,4577000
715,19142000
152,1116000
98,1317000
208,4712000
157,1944000
42,705000
133,714000
340,11338000
214,5173000
177,3539000
94,1824000
103,871000
177,1035000
102,632000
54,1316000
228,6210000
252,5007000
157,3458000
113,1073000
188,2645000
108,1835000
318,8715000
85,2302000
593,10639000
385,7475000
270,9710000
100,1204000
268,8457000
242,4823000
141,2228000
58,1344000
246,7460000
274,4072000
138,1808000
160,3390000
215,2155000
312,7777000
359,7748000
353,11450000
141,1178000
68,1541000
133,1005000
131,3562000
472,18318000
151,2849000
154,1468000
169,4775000
310,7470000
142,1464000
279,6661000
123,3157000
110,1133000
186,1529000
167,2329000
199,4295000
111,1102000
62,1471000
250,6337000
140,828000
168,3258000
112,2468000
207,5519000
41,294000
37,1076000
125,1955000
140,2846000
144,2547000
120,3576000
110,1149000
199,4515000
145,4513000
119,1957000
42,701000
506,16105000
222,9269000
132,2402000
217,4213000
134,828000
150,2606000
149,3783000
257,5252000
241,3870000
214,5934000
349,11682000
44,678000
132,2264000
169,2264000
259,6334000
138,4815000
108,812000
88,854000
209,2532000
140,2891000
96,1918000
279,8463000
261,7089000
217,8325000
37,781000
203,4620000
198,3943000
182,4456000
279,7104000
188,3703000
246,6145000
266,5668000
166,1900000
124,1938000
170,4404000
132,3600000
321,8808000
105,1203000
142,1480000
119,1538000
177,6370000
107,653000
147,3556000
227,6629000
193,4681000
186,4144000
141,3096000
165,3136000
314,9429000
180,3332000
106,1241000
162,3830000
288,8280000
114,1078000
267,5475000
148,1157000
96,2241000
105,908000
125,1343000
149,1770000
183,2586000
118,1565000
93,595000
136,1274000
79,1692000
307,4975000
118,1085000
134,2786000
217,1946000
182,1690000
104,991000
88,1170000
178,4629000
111,1091000
140,4628000
86,999000
125,2715000
158,3045000
283,7571000
409,13561000
203,4128000
236,6578000
169,1330000
125,4484000
157,3574000
259,5327000
128,937000
148,1769000
112,2215000
276,6632000
250,9224000
107,1226000
146,1041000
221,1977000
193,4499000
154,3525000
156,1666000
140,3282000
124,3478000
104,2776000
104,1447000
368,9285000
184,3416000
72,981000
76,1060000
267,12312000
217,6330000
192,4336000
186,4048000
138,2605000
115,3816000
295,11315000
325,6843000
342,7998000
166,4770000
540,15539000
120,2222000
167,1686000
200,5776000
116,1322000
186,1643000
151,2731000
295,4961000
262,9552000
249,5295000
231,3407000
227,5617000
194,1210000
354,12381000
48,1395000
229,3979000
80,761000
330,7933000
279,4032000
86,1249000
188,4209000
153,3441000
131,2345000
362,7885000
63,881000
190,5982000
214,2620000
359,8520000
229,4029000
340,9910000
96,1468000
592,17189000
76,1997000
313,12352000
177,3165000
299,5230000
207,3839000
154,2303000
127,1637000
125,1269000
101,1582000
139,1721000
189,2637000
325,12879000
141,1735000
159,2825000
187,4205000
266,5887000
143,1227000
77,2032000
165,3035000
372,6793000
161,2356000
200,4160000
198,1913000
151,1960000
266,6260000
188,2851000
254,4897000
225,7892000
205,4925000
250,5071000
160,5355000
79,959000
473,6886000
120,2914000
216,7398000
214,5614000
59,1262000
108,2007000
33,218000
201,4449000
71,1765000
108,2277000
198,2608000
300,4753000
232,5059000
153,4196000
128,798000
200,4780000
444,8889000
98,1019000
689,18698000
128,1300000
127,1194000
193,2965000
130,1050000
188,2563000
103,1264000
375,13637000
155,1544000
143,3174000
169,834000
63,978000
217,6518000
116,2648000
363,11627000
183,4874000
146,833000
186,2255000
103,4337000
272,4518000
197,3348000
192,2154000
404,9675000
242,8437000
332,7452000
37,973000
82,1061000
209,3899000
124,1037000
183,2226000
262,5985000
173,4461000
141,1719000
178,3310000
174,3298000
143,2820000
149,1560000
204,6372000
122,1616000
37,812000
128,2831000
70,672000
117,3022000
322,11521000
275,7967000
164,2276000
351,5795000
122,1139000
63,1972000
235,4198000
155,978000
117,1235000
144,2593000
99,573000
100,2288000
391,14313000
221,4772000
271,2718000
91,2711000
183,7147000
205,3156000
155,3623000
133,802000
278,10147000
214,4830000
245,6948000
270,4309000
45,1047000
332,13354000
249,5242000
232,5928000
276,7217000
77,539000
100,1484000
203,3490000
201,4799000
216,2761000
173,4693000
141,2652000
172,1051000
394,9276000
218,4961000
46,1458000
220,6047000
292,11481000
395,9381000
94,3388000
78,859000
140,1818000
263,4108000
283,6516000
155,1667000
243,8193000
121,1472000
208,5076000
105,3984000
204,880000
193,3899000
535,16881000
150,2429000
112,1306000
142,3004000
117,1615000
136,2946000
71,655000
66,457000
172,2688000
119,3243000
268,4065000
42,1168000
329,11264000
152,1999000
160,3637000
199,1590000
133,2816000
65,432000
158,1642000
264,7286000
224,4839000
89,639000
262,7190000
208,1311000
240,4216000
127,1038000
386,16931000
105,1139000
308,8858000
187,4798000
228,3770000
213,3172000
245,5937000
168,4457000
252,7071000
211,4864000
388,10066000
268,6738000
43,533000
183,2640000
160,2044000
104,1412000
144,892000
170,3920000
139,1333000
324,6817000
77,1186000
76,1649000
128,915000
244,5814000
239,7498000
98,876000
138,3279000
169,2935000
153,2570000
138,830000
150,4080000
237,5724000
225,2637000
255,7234000
178,4379000
213,4985000
180,2403000
174,4855000
209,7625000
406,13152000
171,3103000
110,2529000
135,2709000
257,4917000
169,972000
124,2537000
150,1592000
135,2835000
240,4411000
376,8898000
76,737000
243,4897000
124,1590000
46,1100000
236,8546000
209,5980000
193,6761000
231,5999000
268,5910000
294,6420000
232,1746000
313,8150000
295,10205000
83,1351000
197,2266000
270,7531000
219,5772000
151,3862000
211,3033000
197,7155000
99,2690000
170,2401000
130,1264000
557,11677000
193,4122000
172,4856000
138,3337000
330,9095000
175,4127000
233,5009000
65,2518000
143,3129000
163,5458000
197,4151000
162,2314000
587,16123000
246,6972000
171,2091000
225,3522000
398,11857000
333,7533000
324,9050000
183,4061000
247,6409000
131,836000
129,2788000
173,5269000
155,745000
168,4831000
127,1553000
282,7812000
431,13959000
172,2251000
48,421000
40,339000
309,12227000
177,3153000
75,780000
158,4194000
186,1480000
128,1043000
59,1212000
163,4136000
78,996000
372,7622000
227,6430000
206,7130000
274,8595000
265,4976000
33,374000
110,1380000
99,1193000
334,7309000
596,18519000
77,447000
465,12883000
50,1106000
340,7664000
107,597000
220,6255000
380,6273000
87,566000
232,1901000
155,2267000
316,7317000
116,1479000
305,8079000
100,2632000
42,455000
127,723000
155,1552000
97,883000
155,2978000
204,2283000
256,7652000
225,8003000
119,1913000
214,3832000
322,10085000
267,5182000
227,5819000
53,230000
71,388000
108,729000
256,5814000
445,15169000
160,4434000
242,8123000
86,967000
84,953000
91,2891000
94,1137000
129,627000
169,3660000
250,4478000
287,5783000
510,15475000
217,7089000
147,1519000
325,6701000
46,912000
325,5852000
191,4692000
146,1461000
557,13189000
114,2161000
131,3371000
56,1471000
191,1929000
232,5353000
138,2770000
325,11509000
279,4159000
154,4572000
134,2196000
105,963000
189,5522000
163,2596000
467,10959000
516,10138000
372,10102000
91,1834000
104,1577000
225,4281000
74,741000
340,6572000
191,2183000
195,5833000
381,12981000
527,14297000
122,1572000
203,5905000
160,1911000
342,8634000
322,9485000
137,4523000
238,4300000
213,6608000
211,3805000
198,3297000
201,4691000
159,2302000
249,7517000
186,5177000
88,3159000
188,4080000
122,1456000
124,3580000
155,3137000
105,647000
108,2579000
225,5584000
197,5845000
227,10067000
37,486000
173,3325000
62,884000
410,12505000
148,4321000
240,6270000
147,3386000
101,2781000
249,6549000
327,6153000
113,2507000
193,7383000
68,1045000
37,1093000
553,15065000
279,5140000
156,2967000
160,1993000
150,3170000
140,2798000
89,2830000
229,7121000
68,522000
462,13268000
108,3117000
148,3671000
147,2411000
90,1820000
168,4424000
164,5112000
100,970000
46,1105000
173,5076000
173,2928000
208,5257000
208,4944000
94,1128000
109,768000
204,5264000
189,4827000
228,5134000
208,2989000
139,2948000
33,197000
182,4991000
72,1558000
66,986000
262,7323000
264,4472000
232,3036000
143,2968000
88,1894000
251,10502000
134,1414000
117,894000
93,1044000
125,1625000
154,3693000
279,7155000
334,6377000
128,1207000
338,9586000
102,1951000
124,923000
136,1325000
283,6334000
92,594000
145,3498000
388,12784000
357,13643000
64,615000
249,6423000
217,7737000
277,9044000
159,3213000
102,2147000
71,612000
159,4837000
236,8175000
97,2821000
140,2823000
122,3001000
62,831000
295,7389000
124,915000
217,5151000
363,10547000
140,1812000
83,2433000
380,11653000
197,4581000
147,2786000
182,5063000
60,2176000
426,10446000
208,4264000
268,9521000
122,766000
308,10985000
76,1763000
164,4259000
108,1873000
178,5594000
494,18873000
171,5984000
168,3093000
215,2564000
78,567000
158,1869000
418,9649000
222,2495000
46,1043000
179,3762000
194,1609000
61,1338000
370,8838000
357,10100000
146,4345000
204,6561000
612,16139000
198,3180000
65,1407000
130,1371000
145,1026000
225,6765000
55,708000
270,5915000
107,2340000
141,3153000
97,635000
520,13335000
87,1329000
225,7318000
149,1936000
147,1547000
137,3405000
148,2601000
208,6107000
111,2345000
269,7243000
80,2547000
291,3877000
60,574000
173,3124000
208,1401000
100,1080000
220,2383000
233,5316000
295,6250000
93,1374000
83,875000
227,6981000
98,2484000
297,10596000
145,1672000
301,10119000
173,2904000
177,4075000
177,3238000
102,1230000
230,3570000
275,8452000
174,4029000
101,772000
211,3530000
149,2070000
252,6080000
224,4670000
88,1017000
153,1067000
180,5024000
134,2432000
56,1730000
139,1492000
81,782000
127,1228000
102,2441000
325,11715000
198,4222000
77,1112000
245,5062000
91,1688000
154,4328000
117,2625000
154,4999000
162,2411000
92,2155000
119,1693000
245,5196000
356,7852000
177,5246000
212,4443000
281,7361000
438,10876000
104,2026000
136,1652000
249,5311000
105,598000
166,2119000
201,1939000
190,1544000
110,2213000
92,1137000
90,1953000
189,4224000
237,4873000
112,1620000
207,4148000
399,8255000
340,6161000
130,890000
309,5141000
86,723000
127,1859000
139,3707000
156,2743000
188,4628000
108,1900000
173,2886000
85,1016000
78,1462000
163,4203000
135,2050000
157,2564000
169,1823000
125,2107000
187,4647000
132,3479000
228,6339000
231,4090000
159,1307000
167,4541000
178,3822000
209,6068000
232,3936000
137,1076000
170,1889000
149,3531000
245,8192000
169,2186000
69,500000
111,1726000
143,3199000
118,1030000
433,15868000
126,3752000
183,4356000
140,3908000
178,4481000
239,7393000
129,1191000
123,3260000
217,7008000
150,2353000
186,4740000
118,1929000
215,6160000
156,2487000
265,6006000
67,443000
127,2245000
217,4027000
312,5073000
180,3795000
177,1708000
228,6134000
253,5554000
286,5971000
42,928000
70,867000
135,3321000
115,3157000
115,1481000
177,1810000
203,4871000
108,3256000
281,4299000
147,1172000
71,482000
328,8107000
163,3721000
110,1835000
117,678000
188,3208000
690,17738000
242,6851000
139,4567000
114,1788000
103,1073000
186,4607000
223,2724000
214,4907000
123,3605000
233,5192000
164,3254000
193,3746000
173,5509000
143,4267000
165,4482000
54,549000
53,1197000
266,6391000
170,3755000
79,1659000
80,2503000
193,4404000
97,830000
294,9209000
189,1470000
73,695000
99,2430000
296,9374000
247,5935000
165,5634000
281,5749000
193,3929000
86,1036000
339,8667000
335,17257000
199,4466000
240,4214000
95,1496000
296,12609000
120,3340000
104,767000
156,1378000
156,924000
125,3987000
259,10713000
165,1059000
312,6644000
418,14940000
37,901000
135,2811000
114,2328000
61,979000
231,6738000
154,5633000
239,7468000
388,17335000
132,3024000
163,2611000
161,2281000
122,1906000
302,5643000
209,4929000
184,4247000
194,4324000
113,1065000
221,5050000
50,534000
203,2455000
237,6450000
145,4404000
91,928000
446,11598000
126,1559000
139,2171000
161,1992000
301,8119000
179,6762000
186,4667000
104,941000
144,2994000
176,3188000
236,5296000
156,2085000
321,8783000
128,2392000
113,2822000
210,3704000
284,7413000
187,3371000
135,1027000
54,883000
104,1348000
176,3651000
134,3186000
233,3335000
291,8017000
370,8217000
301,7824000
220,3350000
372,10271000
178,4459000
269,3756000
50,282000
238,6218000
155,2532000
283,7465000
363,9957000
334,7995000
196,3215000
135,4072000
90,826000
217,4163000
211,3075000
382,9456000
119,1964000
91,1018000
220,5717000
97,1119000
220,3679000
451,11318000
188,2566000
48,1325000
70,2563000
263,5730000
92,2097000
211,4662000
137,4332000
82,1629000
133,4148000
180,3807000
339,9738000
176,3819000
200,2244000
97,599000
372,5646000
366,13879000
233,8355000
305,8707000
156,1633000
189,6972000
250,4600000
182,5568000
325,7521000
192,3631000
165,2586000
63,391000
185,3361000
293,12104000
39,193000
138,1428000
245,8528000
115,2892000
110,984000
224,6629000
105,627000
118,3582000
152,1941000
194,5824000
162,2523000
194,4633000
150,760000
54,911000
285,8929000
58,553000
151,1627000
42,901000
76,779000
165,5583000
356,13492000
138,1141000
134,2929000
252,8025000
382,15561000
357,10932000
340,6891000
153,2210000
158,2897000
216,4691000
89,1199000
404,11532000
87,996000
187,4980000
197,5728000
128,2054000
265,5628000
200,6277000
148,1261000
175,4280000
265,8929000
137,3806000
311,6438000
148,2526000
95,1759000
299,8769000
142,1440000
430,10823000
188,1114000
116,1177000
256,9246000
52,626000
86,652000
222,6218000
211,6679000
172,4953000
133,2916000
98,2251000
277,6296000
46,1301000
199,4003000
154,1332000
166,2291000
276,8913000
79,696000
77,588000
165,4492000
141,968000
134,1442000
121,2912000
79,1552000
90,2294000
186,1580000
279,6671000
437,9799000
279,6634000
113,1481000
77,642000
157,3395000
140,1613000
175,3341000
287,8384000
79,1374000
156,7216000
56,1755000
67,1529000
264,5951000
261,6206000
184,5450000
511,17699000
115,1664000
258,7648000
214,4472000
354,9672000
58,529000
351,12027000
91,857000
261,10686000
174,5435000
158,1932000
78,479000
204,2813000
644,18867000
497,11840000
106,964000
184,1838000
143,843000
210,1975000
376,7037000
165,1020000
177,3057000
210,5478000
152,2046000
154,3895000
253,5711000
42,1529000
264,7496000
229,6597000
101,1392000
136,3379000
327,5894000
223,4570000
191,1389000
127,1404000
116,3857000
372,13667000
219,7695000
219,4158000
37,427000
126,581000
99,817000
226,4322000
60,407000
122,2059000
186,1978000
325,7368000
297,9653000
127,999000
81,1351000
173,4526000
238,3844000
167,3614000
188,3269000
222,9054000
107,3672000
669,19122000
226,6722000
118,849000
149,3106000
179,3599000
75,769000
143,2604000
133,2359000
112,698000
187,4930000
523,15012000
95,1619000
213,2255000
670,15803000
318,8494000
128,961000
229,5283000
222,2341000
170,4240000
62,636000
81,473000
219,8532000
152,3381000
326,7648000
431,7964000
125,1329000
103,594000
291,6603000
128,1170000
168,2179000
102,1183000
56,1376000
265,7371000
209,6915000
443,18030000
376,9064000
162,2892000
97,649000
200,3385000
87,1393000
194,4072000
151,3148000
70,2457000
312,10302000
115,922000
125,773000
264,10406000
232,3042000
160,1847000
351,6311000
727,24384000
199,3953000
341,13699000
121,1166000
178,3697000
126,2708000
300,6977000
208,3772000
337,9947000
251,8447000
212,6567000
80,2068000
262,7060000
46,295000
338,9580000
347,10629000
178,6929000
173,1499000
216,5100000
34,355000
98,1076000
123,2130000
254,5412000
159,989000
96,1387000
184,3609000
124,2552000
164,5156000
268,5932000
244,6361000
233,6936000
320,10822000
277,4054000
319,8894000
111,2895000
86,903000
127,1155000
227,4859000
175,1127000
488,11059000
176,4380000
86,2407000
154,3117000
137,2515000
181,5679000
90,1910000
105,753000
362,8850000
169,2163000
46,1143000
158,1693000
161,2579000
142,3946000
406,13490000
346,7928000
129,887000
200,3923000
113,695000
321,5874000
303,5597000
300,12171000
265,4859000
79,2142000
107,678000
137,2968000
143,2130000
110,2745000
230,3004000
158,5021000
231,3615000
100,1015000
226,4796000
404,10515000
212,4720000
273,7488000
128,2255000
403,11192000
154,2015000
61,1278000
135,1945000
131,4061000
187,4079000
259,7268000
282,8868000
161,693000
96,548000
174,3911000
302,11821000
203,4927000
137,1330000
251,6451000
132,1582000
125,773000
164,5933000
65,1714000
203,4993000
227,7616000
138,1302000
423,9598000
191,4206000
145,4398000
