area,rooms,age,price
227,9,105,5121000
232,9,92,5282000
158,5,63,3140000
127,4,115,1258000
171,7,93,829000
80,3,38,1622000
258,10,115,4490000
158,5,88,3311000
92,2,46,841000
367,12,114,9327000
254,7,62,7340000
129,3,25,1047000
211,8,108,5123000
101,2,88,500000
122,4,30,1121000
191,6,13,4042000
98,3,43,2204000
101,2,13,1265000
95,2,66,534000
157,6,58,3681000
82,3,57,1300000
347,11,39,13852000
202,6,17,3771000
212,8,96,3235000
150,5,19,3940000
141,5,19,2667000
173,7,124,3518000
186,5,13,1056000
89,4,30,618000
241,8,1,6393000
123,3,103,1582000
322,10,64,4953000
140,4,39,2081000
132,4,9,1240000
192,6,51,3067000
344,12,28,8324000
279,8,66,6227000
349,11,98,10904000
158,5,101,2868000
124,3,16,3358000
173,5,44,3497000
65,3,8,2300000
223,7,100,1860000
120,5,118,787000
52,1,112,296000
167,5,67,1321000
159,5,39,2606000
43,1,14,280000
315,9,54,5778000
164,5,61,2281000
174,5,110,1831000
202,8,28,5481000
162,6,54,1546000
221,7,10,4654000
179,5,46,5179000
181,6,59,1537000
182,6,123,2643000
172,6,64,5664000
418,12,120,7278000
161,4,23,3279000
262,9,57,5014000
398,12,22,12349000
75,2,88,1151000
73,1,51,1011000
241,8,70,8922000
104,3,14,737000
115,3,65,2334000
144,5,2,2152000
139,5,49,3088000
347,12,107,6494000
319,12,111,9009000
169,6,63,3032000
189,6,98,2899000
431,12,29,16314000
383,12,43,11884000
101,2,22,3536000
282,8,8,7294000
375,12,68,9055000
68,2,98,333000
194,5,38,5204000
106,4,113,2156000
218,8,63,5186000
165,5,7,1868000
121,3,63,635000
131,4,101,1454000
191,7,31,3115000
364,11,18,7582000
178,7,44,1234000
207,7,64,3058000
99,4,29,681000
392,12,107,12856000
155,5,82,2903000
162,4,43,4210000
389,12,90,9522000
113,5,109,1262000
174,5,62,4172000
297,11,116,4380000
253,9,38,6463000
79,4,60,584000
250,9,41,5311000
270,10,42,6142000
201,6,48,2777000
121,5,39,1882000
67,1,57,699000
502,12,72,16988000
196,8,30,4338000
167,6,105,1717000
279,9,44,4905000
132,3,84,4956000
136,6,20,841000
191,7,90,3201000
100,2,104,620000
212,6,79,3640000
230,7,1,5118000
198,8,13,5477000
153,6,22,4304000
120,4,101,1777000
315,9,37,9257000
153,6,99,2364000
107,4,102,2464000
170,7,100,1259000
247,8,50,5988000
167,6,118,3588000
152,4,48,2431000
290,10,36,7344000
152,4,25,2943000
524,12,39,16023000
162,4,59,1819000
85,3,32,505000
137,4,6,2114000
130,4,119,593000
185,6,8,5944000
73,3,79,369000
46,2,12,918000
72,2,120,475000
129,3,88,1093000
108,5,55,960000
72,1,35,1485000
230,7,71,4528000
336,11,62,6378000
124,3,124,1554000
151,4,31,3824000
182,5,75,1889000
490,12,106,10713000
82,3,84,557000
116,4,109,2762000
51,3,3,1099000
148,4,36,2194000
74,2,118,1827000
75,2,90,659000
34,1,116,339000
370,11,75,10931000
225,8,88,3800000
237,8,63,5325000
190,5,89,3136000
239,9,63,4950000
221,6,90,4839000
213,7,70,3293000
88,3,83,2121000
181,5,15,4479000
152,6,96,3188000
228,9,54,5488000
386,12,30,11144000
161,6,16,2709000
218,6,47,7367000
54,1,13,1047000
232,7,95,5944000
54,2,14,1409000
149,6,116,2254000
133,3,99,3299000
332,12,18,10548000
148,6,59,1214000
109,3,7,3658000
112,5,48,500000
133,5,35,1726000
90,3,22,824000
232,8,64,5178000
207,8,19,5808000
128,3,72,815000
169,7,123,2208000
162,6,113,2758000
146,4,108,2761000
196,6,81,1210000
186,5,1,4398000
136,4,124,2414000
172,6,31,3757000
120,4,73,1253000
195,6,34,3079000
108,5,30,2177000
108,5,74,1812000
136,5,94,1220000
68,3,100,1323000
250,7,77,4527000
184,6,101,3103000
228,8,104,5134000
111,3,108,2472000
260,10,115,4872000
238,8,92,4404000
164,6,68,3909000
46,3,76,1003000
82,3,77,1574000
165,5,77,3740000
166,7,123,722000
49,1,31,1039000
146,5,102,2164000
230,7,56,6484000
116,3,70,2677000
89,3,72,393000
159,6,90,4258000
310,11,46,8493000
211,7,112,3691000
62,3,117,980000
170,5,54,847000
86,3,41,493000
226,9,95,5415000
137,4,59,2718000
90,4,90,1572000
179,5,33,3806000
100,2,90,784000
161,4,116,2344000
472,12,5,10485000
292,9,4,10656000
47,1,79,418000
110,3,75,838000
209,7,88,4355000
194,7,80,2702000
372,12,89,7593000
513,12,57,10978000
215,6,89,3020000
214,8,19,6089000
82,3,6,495000
163,6,43,5223000
136,4,50,1453000
169,5,123,3889000
137,4,51,2367000
72,2,115,1355000
216,6,38,5302000
258,8,96,4376000
365,12,86,11138000
202,8,63,4809000
191,5,65,6859000
356,12,47,7671000
194,6,116,3301000
114,4,43,830000
227,9,80,3771000
221,7,62,5350000
511,12,28,11601000
144,5,121,1401000
179,6,58,2135000
104,2,95,723000
108,4,50,1240000
48,2,33,245000
465,12,34,14721000
122,4,55,1120000
175,5,120,2442000
121,3,40,3014000
220,8,110,4799000
305,11,104,4853000
209,6,78,4344000
160,6,54,1201000
478,12,38,16331000
83,4,71,929000
111,5,102,1123000
185,6,14,5308000
339,11,50,7089000
243,9,99,3689000
133,5,60,3765000
292,9,83,6670000
410,12,94,11971000
200,7,33,5738000
178,7,35,1056000
212,7,42,3918000
254,8,64,5945000
88,4,105,555000
176,5,95,4697000
233,7,69,6026000
365,12,14,13445000
401,12,59,9926000
68,2,123,578000
351,12,107,7856000
360,12,81,8586000
198,6,91,4154000
308,9,102,6548000
469,12,74,11113000
162,6,111,1005000
67,3,82,393000
134,5,2,3139000
179,5,71,6270000
299,9,24,6488000
208,6,16,3678000
66,2,81,546000
459,12,104,9684000
231,9,53,6914000
124,5,49,2643000
238,7,71,6862000
250,9,66,4549000
321,12,29,7969000
101,2,27,745000
287,10,2,5385000
114,3,26,733000
279,9,52,3558000
207,6,4,4136000
369,12,46,16473000
123,3,38,1069000
254,9,60,5027000
42,1,89,273000
49,1,109,891000
172,5,7,2119000
118,5,74,937000
379,12,81,13353000
286,11,46,7596000
42,2,11,981000
309,11,86,7351000
181,6,115,2879000
145,5,99,1082000
76,2,23,991000
114,5,41,899000
127,4,110,1635000
121,5,92,955000
112,4,94,1224000
303,10,103,10468000
242,9,30,5451000
171,7,48,1561000
143,4,72,2700000
168,7,113,1107000
274,9,123,5955000
156,4,81,1612000
94,2,79,411000
103,2,97,3790000
155,4,122,1242000
119,4,119,544000
214,7,40,2005000
313,10,11,8688000
143,5,85,4140000
130,3,22,1551000
190,6,8,2476000
177,7,106,4730000
243,7,80,4425000
76,2,3,631000
183,7,78,3180000
232,8,28,4801000
356,12,87,5649000
343,12,22,6894000
180,5,86,2905000
98,3,121,900000
163,4,28,1106000
152,6,46,2728000
193,5,84,3602000
144,6,56,3595000
290,9,97,10755000
37,2,10,283000
244,7,38,3677000
152,4,69,1796000
244,9,61,7822000
141,6,41,2723000
207,6,48,3673000
174,5,1,3361000
173,6,38,4562000
85,3,77,885000
400,12,102,9750000
196,6,121,3520000
157,4,71,1801000
98,3,50,493000
345,12,70,8081000
151,6,52,3390000
67,1,44,387000
133,5,49,1989000
161,5,61,1752000
68,2,37,952000
183,5,96,3951000
160,6,50,1150000
126,4,9,920000
183,6,64,4307000
210,7,2,5015000
203,8,33,4858000
298,11,91,4597000
336,12,4,8230000
190,6,13,4499000
146,5,30,3058000
322,11,84,8697000
37,1,105,829000
101,4,20,1814000
124,3,38,574000
104,3,101,2438000
325,10,83,7766000
223,7,114,3199000
271,9,120,5380000
465,12,3,9167000
226,7,104,5044000
159,6,68,2780000
173,7,49,5386000
251,8,117,4891000
102,3,48,2149000
358,11,62,12272000
94,3,43,1148000
220,7,68,3302000
567,12,104,12677000
328,11,2,11598000
173,7,107,2382000
607,12,64,16623000
160,4,124,1306000
140,5,76,1229000
186,6,77,1338000
412,12,93,11760000
153,5,9,2369000
524,12,107,6204000
107,5,120,1116000
204,7,60,4027000
308,11,88,6601000
235,8,3,5145000
230,9,52,5474000
151,4,123,1357000
116,3,57,1316000
187,5,112,3108000
89,3,76,629000
193,5,20,1851000
56,3,53,764000
73,2,11,474000
521,12,36,12438000
87,4,37,515000
281,10,15,8359000
194,5,120,3884000
101,2,6,685000
110,4,79,927000
100,3,39,1709000
189,6,79,3787000
322,12,27,7110000
334,12,40,6803000
308,10,88,8107000
296,9,113,4779000
178,6,49,1877000
330,10,2,8252000
199,7,25,5170000
278,8,32,7452000
250,9,65,5654000
70,2,104,363000
216,7,58,2597000
212,6,5,6766000
144,6,36,1947000
322,12,113,7123000
111,5,105,1859000
211,8,81,6367000
79,3,69,464000
111,5,116,1236000
82,3,114,783000
431,12,22,13952000
228,9,34,2198000
147,6,122,1134000
144,6,19,3149000
329,12,109,5018000
95,3,16,503000
178,6,90,1685000
324,10,79,6883000
125,3,109,1937000
493,12,27,11928000
162,5,65,4424000
470,12,47,12162000
174,5,123,4249000
123,5,31,947000
162,4,11,1252000
301,11,17,9829000
328,10,42,6746000
179,6,32,3705000
153,4,104,1456000
353,11,94,5292000
214,6,106,4874000
130,5,44,997000
180,6,57,1816000
111,3,71,540000
398,12,108,8356000
143,4,60,3357000
557,12,10,20011000
212,6,26,5634000
328,10,103,8116000
213,7,94,4020000
115,4,97,2040000
282,9,101,4732000
159,5,105,2324000
137,6,82,2715000
554,12,58,17665000
112,3,45,1038000
150,4,15,5051000
174,7,78,3237000
345,12,115,9585000
208,7,66,5426000
155,6,109,1559000
115,5,40,3686000
230,8,62,5996000
227,8,92,3863000
306,9,54,7697000
182,5,72,1737000
100,3,9,651000
73,2,116,868000
108,4,52,2548000
80,3,96,517000
48,1,58,356000
173,7,119,3656000
68,1,86,641000
187,7,20,1916000
147,6,86,2807000
201,6,86,4874000
441,12,69,14928000
127,5,101,2228000
175,7,4,2494000
41,2,113,449000
220,7,82,6263000
188,5,35,4700000
224,8,100,6462000
220,8,19,5224000
42,1,17,705000
284,10,5,5255000
233,7,44,5052000
131,3,15,1142000
62,3,110,548000
116,4,78,1848000
251,7,9,6326000
174,7,88,1313000
259,9,84,6088000
257,9,60,5792000
288,10,116,3977000
188,5,47,4701000
165,7,60,4033000
75,2,1,1825000
131,3,95,3069000
59,1,103,410000
154,5,112,1898000
119,4,53,3270000
213,8,38,2652000
51,3,79,496000
233,7,1,9083000
294,9,111,7491000
115,5,114,585000
178,6,80,5104000
174,6,67,2949000
298,10,106,8456000
165,5,15,4130000
179,7,104,3300000
267,10,24,4679000
245,7,101,2503000
186,6,107,2666000
83,4,15,776000
255,9,7,6994000
305,9,36,6097000
116,4,115,2206000
148,5,98,1896000
146,6,30,3642000
202,7,32,1644000
169,5,20,5110000
204,6,45,3155000
165,6,33,1464000
223,6,89,4222000
149,6,56,1615000
153,5,11,1683000
221,7,40,4089000
156,6,105,1244000
147,4,81,3035000
292,10,14,7607000
112,5,122,1480000
56,1,122,530000
170,7,33,4146000
70,1,46,1885000
557,12,95,12300000
160,5,110,2512000
282,9,22,4675000
224,6,108,3950000
201,6,119,1895000
100,2,64,1003000
142,4,62,1630000
217,6,57,2846000
129,4,29,1524000
121,5,58,3440000
73,2,11,372000
359,11,118,3712000
145,4,1,3442000
299,9,106,6494000
103,2,43,1142000
153,5,117,1769000
158,6,97,2601000
163,5,93,1875000
217,7,46,5735000
168,5,38,1369000
348,12,88,6474000
224,7,66,2694000
317,12,102,5761000
386,12,116,6998000
316,10,91,8069000
298,9,36,5506000
33,1,9,441000
42,2,57,1204000
232,9,92,3733000
128,3,11,2545000
235,7,70,4317000
91,2,61,780000
174,6,62,1081000
138,4,78,2705000
164,5,59,2500000
149,5,19,4229000
139,5,47,2427000
418,12,72,8993000
368,12,109,9233000
206,6,21,1877000
176,5,7,4455000
109,3,40,956000
62,1,77,1524000
28,2,9,163000
202,7,121,1139000
79,4,90,1732000
200,7,59,6887000
75,2,84,1641000
66,3,80,852000
219,6,110,4683000
314,9,56,13577000
306,10,99,6567000
145,4,23,4126000
208,6,11,5581000
200,6,124,3177000
81,3,101,895000
124,5,8,576000
290,9,73,7902000
242,9,6,6788000
474,12,4,9044000
226,9,47,5695000
317,11,107,7499000
156,4,67,4299000
246,9,8,6513000
632,12,10,12947000
178,5,11,4959000
171,6,49,1923000
557,12,78,17174000
277,9,118,5083000
230,7,108,5077000
205,8,122,3536000
258,10,4,8260000
187,7,69,1571000
154,5,120,4347000
416,12,34,10230000
132,3,123,1458000
111,3,65,1907000
142,4,78,609000
252,8,35,6474000
178,7,107,3465000
197,7,91,4666000
269,10,88,6077000
173,7,38,3316000
69,3,27,586000
113,3,73,2513000
85,3,49,751000
69,2,102,562000
113,4,21,935000
91,3,4,2090000
267,8,65,3711000
188,7,71,2781000
188,6,47,6213000
145,4,26,1600000
306,9,117,4868000
181,6,77,3628000
47,2,96,621000
365,11,14,7677000
206,6,21,4778000
65,3,85,1696000
319,10,57,9538000
429,12,51,10246000
302,10,47,8782000
511,12,96,13347000
42,1,62,661000
261,10,2,7452000
258,8,118,3830000
124,5,86,1082000
314,9,23,6866000
372,12,11,11020000
137,6,82,1325000
372,12,59,9684000
233,8,80,5396000
104,2,20,3206000
268,10,65,8384000
175,5,4,5612000
311,10,85,6660000
75,3,25,766000
354,12,48,8447000
41,1,106,280000
179,5,35,3598000
255,8,5,4673000
243,9,20,3557000
146,5,13,3972000
560,12,59,14307000
115,4,67,2293000
159,5,60,3461000
192,6,47,3029000
208,8,50,2919000
52,3,48,1180000
376,12,124,9173000
59,3,118,296000
239,8,85,3130000
142,4,44,1121000
123,4,36,519000
533,12,11,14567000
128,3,119,1434000
66,1,89,435000
195,7,31,3167000
156,4,11,3658000
387,12,38,7412000
285,10,40,9688000
317,10,57,8588000
103,2,80,2414000
582,12,37,15263000
262,8,81,4828000
224,7,86,4758000
357,12,98,8780000
110,5,70,891000
37,1,75,552000
91,2,108,1105000
257,10,23,3443000
248,7,82,6523000
41,1,22,335000
206,6,7,4495000
88,2,104,1716000
182,6,94,5493000
299,9,108,9408000
79,2,97,1059000
258,9,1,7314000
115,3,108,1432000
547,12,26,13290000
169,6,116,1149000
203,6,64,1984000
46,3,86,763000
187,7,96,2044000
137,4,5,1583000
192,7,22,5777000
117,3,11,2714000
160,6,75,1673000
113,5,79,1780000
197,8,55,4755000
144,4,64,2540000
185,7,96,2678000
211,6,120,3648000
308,10,121,5744000
78,3,114,358000
246,7,19,5683000
148,5,105,970000
188,6,96,4115000
213,8,51,3133000
265,9,10,5452000
94,4,45,516000
239,7,38,3955000
59,2,50,1286000
96,4,120,1943000
736,12,104,17019000
221,6,42,5987000
59,1,51,268000
122,3,28,2271000
49,2,95,1011000
82,3,37,551000
246,9,30,7274000
120,4,45,1123000
168,6,89,4969000
119,3,31,1872000
299,9,108,5247000
197,8,88,3764000
207,6,28,6213000
171,6,86,1549000
216,7,31,5129000
123,5,40,3524000
80,4,124,756000
104,3,87,1142000
223,6,58,5145000
331,12,58,7330000
76,2,7,428000
236,8,119,3493000
139,5,87,1722000
230,8,34,7124000
300,11,39,7423000
234,9,42,4490000
99,4,18,1913000
186,7,120,1143000
309,9,75,5850000
335,12,19,6471000
441,12,21,14064000
234,7,23,6806000
172,7,94,1034000
233,8,54,5938000
235,7,78,3181000
49,2,2,467000
69,1,57,360000
155,4,96,2450000
311,10,68,5670000
180,6,67,3326000
111,5,18,1720000
146,4,110,2101000
173,6,36,1446000
251,9,61,6751000
142,6,105,1332000
147,5,46,1085000
284,9,88,5314000
392,12,124,9843000
177,7,19,4081000
151,5,76,2794000
157,4,31,1632000
182,5,122,1403000
262,8,32,6662000
226,8,15,4444000
252,8,64,5829000
200,8,9,2219000
236,7,5,8857000
142,4,27,2439000
62,1,87,1480000
110,3,77,646000
176,7,101,3487000
112,3,71,939000
278,9,121,3368000
124,3,59,2804000
159,4,24,1478000
125,5,79,1152000
177,5,78,1758000
198,8,124,1825000
123,4,7,1026000
166,7,52,2281000
157,4,61,3068000
292,10,10,5959000
122,5,69,1851000
143,6,95,2622000
203,6,17,3250000
134,5,21,4200000
155,4,89,2185000
115,5,10,1606000
150,5,92,1835000
107,3,86,2096000
574,12,49,10628000
743,12,88,10322000
202,6,110,4265000
271,10,68,7091000
199,7,20,3969000
188,7,94,1640000
49,1,3,240000
131,4,52,3447000
323,10,97,8684000
91,2,53,1931000
320,10,121,6644000
163,4,112,3468000
111,5,68,985000
147,4,98,1646000
300,11,80,6399000
191,7,101,4278000
177,6,59,3559000
419,12,15,12160000
194,7,45,3160000
157,5,124,1794000
59,3,45,1131000
156,4,93,2286000
297,11,27,10353000
398,12,26,7871000
230,7,67,4831000
150,4,42,2387000
416,12,88,8827000
145,4,79,3100000
174,5,11,4614000
318,10,14,9681000
265,10,31,3012000
110,5,2,1451000
337,12,51,6155000
181,7,100,4563000
489,12,9,11694000
96,4,118,317000
92,2,48,1129000
130,5,22,2491000
118,4,62,1518000
102,4,76,1510000
73,2,48,489000
164,4,56,4195000
175,7,123,2276000
145,4,74,3974000
166,6,46,3704000
63,2,89,420000
87,4,40,630000
103,3,107,501000
288,10,86,4441000
183,5,47,5709000
280,9,62,6954000
125,4,7,2389000
84,2,78,760000
126,5,71,1785000
153,4,60,2046000
111,4,58,3030000
157,5,38,4071000
238,7,102,5467000
249,7,112,5471000
326,10,87,7807000
109,3,6,1057000
413,12,39,5681000
281,10,37,7240000
48,2,67,267000
154,6,70,2834000
246,7,98,6033000
133,3,38,1458000
169,6,95,2004000
322,10,57,5802000
160,4,26,1838000
312,11,79,6166000
201,7,28,4201000
311,9,83,10568000
151,4,21,1144000
176,6,68,3671000
101,3,6,673000
141,4,33,3316000
472,12,78,17166000
148,4,59,2217000
96,3,88,549000
145,4,35,3102000
245,8,30,6720000
195,7,3,1495000
153,5,51,3250000
267,10,55,4555000
171,7,26,1644000
90,2,53,593000
216,7,65,3314000
145,5,121,2419000
145,5,58,1021000
208,6,80,4811000
197,7,96,3074000
49,3,119,379000
202,6,60,3153000
175,6,44,3620000
274,9,114,6376000
78,3,111,355000
104,3,60,2902000
214,8,74,3032000
265,8,109,3148000
150,4,97,1452000
109,4,22,2636000
72,1,6,627000
294,10,97,6122000
111,4,22,3169000
184,5,37,3747000
140,6,29,3756000
498,12,25,11015000
264,9,112,5634000
322,11,95,6357000
367,11,1,8992000
32,1,63,150000
243,7,43,5664000
392,12,79,8030000
167,7,33,3447000
300,9,92,5748000
370,11,27,10133000
107,4,96,2298000
93,4,96,1349000
265,8,30,4872000
90,4,97,686000
409,12,105,7592000
416,12,123,9094000
103,2,124,606000
74,1,42,1330000
52,2,76,698000
383,12,102,7651000
145,4,28,3968000
171,5,4,5822000
370,11,63,6305000
315,11,10,6958000
145,4,119,2909000
369,11,43,5711000
115,4,113,1519000
200,6,6,3416000
153,4,30,3354000
185,5,37,5678000
181,6,27,2918000
137,5,81,2238000
138,5,77,1051000
75,3,93,987000
285,9,89,6659000
134,5,76,2818000
209,6,122,3561000
140,4,70,1579000
97,4,105,967000
124,5,7,2268000
376,12,101,10107000
148,5,13,945000
267,9,94,4267000
184,5,114,4390000
157,4,7,4060000
154,4,120,3457000
169,6,101,2021000
223,8,33,2875000
314,11,48,9355000
279,8,27,6209000
156,6,23,2770000
57,1,105,718000
164,6,123,4788000
33,1,20,478000
159,6,49,4026000
92,4,59,592000
169,5,3,2795000
156,6,49,1482000
224,8,5,2704000
140,6,7,1394000
184,6,50,3728000
118,3,99,1111000
177,7,16,877000
166,5,94,1310000
243,8,48,3946000
79,2,110,1228000
172,6,108,839000
142,5,40,3663000
279,8,83,2107000
107,5,99,663000
170,5,98,1089000
205,7,65,1710000
180,6,91,4079000
172,7,62,1836000
140,5,56,5838000
120,5,112,1074000
190,5,50,2816000
264,10,72,5040000
303,11,73,4740000
311,10,100,6789000
307,10,86,7204000
309,10,11,9886000
180,7,81,1100000
185,5,75,3973000
123,4,55,2512000
187,7,110,2544000
106,4,31,1066000
205,8,19,3135000
221,6,53,4625000
241,8,36,6472000
150,4,56,4876000
136,5,82,1178000
139,5,95,800000
156,6,10,1925000
290,10,84,5725000
372,12,118,6899000
152,6,59,1166000
207,7,9,4639000
286,10,100,5045000
102,3,3,3142000
143,6,112,1242000
356,12,68,10154000
360,11,108,6996000
61,2,23,616000
162,6,86,1857000
293,10,35,5942000
242,7,79,4192000
149,5,110,2555000
158,6,110,2490000
161,5,104,2046000
93,2,40,1655000
295,11,78,7067000
318,12,49,5331000
302,9,62,9768000
264,10,96,6824000
456,12,66,10711000
240,7,10,3041000
164,6,9,1917000
280,10,8,4522000
150,4,95,1206000
164,6,32,878000
266,9,89,3807000
156,4,23,2767000
299,11,6,10263000
157,4,90,2640000
37,2,114,571000
196,8,47,4102000
130,3,26,1187000
354,11,68,12485000
203,7,75,4293000
107,3,97,2142000
59,3,109,373000
570,12,94,15974000
118,5,9,2241000
113,5,55,1558000
155,4,23,2521000
126,5,109,1450000
139,4,113,1883000
322,12,3,9569000
151,5,96,1556000
216,7,40,4429000
119,5,61,1858000
100,2,64,2005000
256,9,118,2920000
362,12,98,3971000
148,6,23,2360000
176,5,9,3621000
199,7,102,4304000
373,12,1,8235000
312,9,3,8316000
127,4,21,2064000
153,6,110,1934000
132,4,115,1219000
157,5,27,3001000
138,4,118,959000
128,4,50,1488000
200,6,29,1500000
145,4,34,827000
325,10,23,10305000
159,5,54,1113000
84,3,25,1198000
155,6,60,2581000
198,8,96,3828000
54,2,1,412000
256,10,103,3800000
119,5,28,2344000
333,11,60,7311000
77,4,58,1684000
226,8,105,5418000
56,1,100,455000
217,6,56,2617000
148,5,3,2781000
72,3,51,937000
235,9,12,3956000
196,6,78,3231000
251,8,47,5650000
322,11,38,6380000
168,7,23,3468000
162,6,12,1962000
215,8,56,2972000
319,12,60,8228000
214,6,75,4321000
604,12,13,15879000
237,9,117,5110000
109,3,3,1388000
69,1,98,373000
242,8,48,5751000
325,12,76,5447000
113,3,39,1800000
66,1,8,1082000
224,8,122,4803000
74,2,90,1425000
323,10,95,6941000
186,6,5,1102000
220,8,114,3912000
229,7,33,5699000
85,4,28,1028000
678,12,77,22745000
70,1,124,594000
183,5,56,2081000
192,7,78,5228000
127,4,78,868000
152,5,67,1674000
104,4,83,1301000
516,12,92,13549000
141,5,37,2791000
269,9,24,4485000
109,5,81,769000
179,7,98,1948000
46,1,123,905000
87,2,83,2160000
239,9,74,9421000
136,5,47,3805000
75,1,43,511000
132,5,98,1530000
424,12,30,15942000
133,5,97,2571000
130,3,29,3203000
201,8,14,3272000
269,9,104,4723000
204,7,121,4340000
353,12,111,7827000
171,6,90,2439000
45,1,37,630000
156,6,66,1823000
135,3,75,915000
172,5,106,1840000
431,12,47,8556000
264,8,39,6978000
195,6,66,1914000
238,8,81,4235000
37,1,78,900000
128,4,44,3170000
212,7,11,2209000
388,12,63,11017000
146,4,111,1498000
182,6,114,2760000
124,5,68,2383000
137,5,122,1094000
212,7,14,6856000
501,12,64,16152000
156,5,11,3648000
73,2,35,786000
175,6,39,3189000
33,1,77,167000
200,6,29,3862000
135,3,59,2368000
36,2,64,294000
114,3,95,1917000
165,5,35,2168000
95,2,9,1213000
264,9,22,5423000
391,12,92,12322000
153,4,110,2558000
69,1,59,746000
274,10,103,3262000
183,7,93,5198000
218,8,9,2475000
111,3,71,2079000
138,6,58,991000
275,8,15,11529000
115,3,44,2914000
263,9,85,5875000
334,11,123,5256000
137,5,92,2775000
332,12,104,6170000
279,9,24,5975000
84,3,26,1321000
160,5,65,3582000
33,1,113,203000
176,6,55,2147000
162,5,64,3366000
125,3,9,2754000
135,5,72,1057000
521,12,27,14485000
129,3,75,1651000
160,5,28,996000
285,9,69,5371000
297,10,76,3308000
206,8,51,5315000
181,7,26,4531000
300,11,6,10111000
334,12,100,6209000
372,11,74,10767000
181,7,86,1366000
145,5,90,1352000
152,4,77,2918000
190,7,53,3968000
171,5,70,1761000
223,8,32,4059000
232,8,108,2123000
221,6,33,8037000
311,11,92,5089000
65,2,96,305000
168,5,10,4302000
524,12,80,11630000
234,7,109,5098000
33,1,76,368000
37,1,56,823000
178,5,107,1976000
209,6,65,3897000
172,6,13,1301000
28,1,63,150000
178,6,17,1176000
205,6,56,3777000
199,6,87,4569000
123,4,12,2626000
216,6,57,6528000
97,3,24,1364000
279,10,98,4901000
206,7,106,1087000
217,7,14,4870000
