town,area,price
East Harlem,154,1395000
Washington Heights,130,915000
Washington Heights,119,837000
East Harlem,130,804000
Murray Hill,108,2276000
Flatiron,136,3071000
Flatiron,145,3780000
Morningside Heights,129,1298000
SoHo,262,7481000
Midtown West,263,6295000
Stuyvesant Town,114,2445000
Two Bridges,93,1343000
Inwood,120,819000
Hamilton Heights,177,1234000
Tribeca,395,12657000
Chinatown,140,1498000
Chelsea,272,6469000
Two Bridges,118,1775000
Gramercy Park,239,5320000
Hamilton Heights,68,592000
Midtown East,205,5928000
Chinatown,177,1729000
Greenwich Village,211,5271000
East Harlem,110,916000
East Harlem,196,1599000
Upper East Side,198,5171000
Washington Heights,90,807000
East Harlem,172,1272000
Morningside Heights,164,1756000
Hudson Yards,141,5441000
Morningside Heights,99,1204000
Chelsea,196,4964000
Nolita,71,2226000
Harlem,139,1767000
Little Italy,120,3475000
Nolita,258,6879000
Morningside Heights,72,926000
Midtown East,269,5243000
Hamilton Heights,125,671000
Upper West Side,402,7888000
Midtown West,368,7090000
Murray Hill,164,3266000
Upper East Side,493,12601000
Hell's Kitchen,171,3821000
Battery Park City,229,5307000
Kips Bay,83,1769000
Financial District,220,3998000
Hudson Yards,294,8350000
Two Bridges,146,1999000
Tribeca,557,17841000
Harlem,206,2103000
Chelsea,228,4839000
Hamilton Heights,147,1110000
Tribeca,528,17802000
Tribeca,293,12498000
Chelsea,148,3925000
Tribeca,384,13422000
Upper East Side,506,16686000
Greenwich Village,227,4985000
Kips Bay,94,2053000
Lower East Side,151,2793000
Inwood,144,1127000
Morningside Heights,158,1823000
Chelsea,162,3938000
East Harlem,103,937000
Hamilton Heights,174,1313000
Kips Bay,209,3962000
Harlem,37,550000
Financial District,189,2895000
Hudson Yards,466,12735000
Tribeca,448,13523000
Gramercy Park,203,4943000
Hell's Kitchen,94,1700000
Tribeca,271,8489000
Lower East Side,202,4173000
Gramercy Park,270,5630000
Lower East Side,182,2218000
Little Italy,219,4824000
Tribeca,490,15601000
West Village,151,5476000
Hell's Kitchen,104,2281000
Little Italy,137,2566000
Hudson Yards,323,4755000
Gramercy Park,165,5095000
SoHo,293,5266000
Financial District,310,5576000
Midtown East,205,4533000
Murray Hill,244,4920000
Inwood,107,722000
Inwood,140,770000
Upper East Side,226,6527000
Lower East Side,159,3106000
Hudson Yards,178,6909000
Midtown West,278,7485000
Little Italy,190,5060000
Morningside Heights,159,1329000
Hamilton Heights,163,870000
Midtown East,146,3563000
Greenwich Village,220,7691000
Midtown East,143,2960000
East Harlem,64,436000
Hudson Yards,372,17501000
Hudson Yards,101,4265000
Inwood,158,1436000
Greenwich Village,338,10917000
Inwood,76,592000
Washington Heights,188,1425000
Murray Hill,102,1456000
Murray Hill,203,3895000
Harlem,95,856000
East Harlem,131,1328000
Midtown East,37,1097000
Two Bridges,125,1545000
Tribeca,347,15555000
West Village,281,7201000
Greenwich Village,297,4975000
Kips Bay,153,2638000
Gramercy Park,155,3239000
Murray Hill,193,3726000
Inwood,104,613000
Washington Heights,99,792000
Gramercy Park,179,2925000
Murray Hill,161,3818000
Greenwich Village,91,2853000
Hell's Kitchen,52,980000
Morningside Heights,87,1090000
Murray Hill,138,2842000
Carnegie Hill,362,7791000
Upper West Side,294,6207000
SoHo,257,8100000
Kips Bay,164,3661000
West Village,160,5396000
Lower East Side,107,2292000
Hudson Yards,143,4081000
Lower East Side,73,1350000
Morningside Heights,232,1833000
Morningside Heights,224,2173000
Harlem,260,2777000
Chelsea,222,6995000
Inwood,141,1021000
Upper West Side,239,6975000
Lower East Side,154,3024000
Harlem,77,1198000
Flatiron,110,2476000
Chinatown,167,2559000
Gramercy Park,204,3243000
Tribeca,179,5620000
East Harlem,174,1391000
Murray Hill,135,1785000
Little Italy,94,1333000
Midtown East,211,5450000
Financial District,109,1796000
Flatiron,334,9681000
Tribeca,398,9777000
Two Bridges,63,955000
Two Bridges,137,1874000
SoHo,218,8001000
Washington Heights,119,1132000
Murray Hill,98,2288000
Chinatown,120,1188000
Little Italy,251,5084000
Flatiron,208,4081000
Tribeca,319,10261000
Financial District,318,5999000
Battery Park City,180,3579000
Tribeca,431,10970000
Hudson Yards,365,13505000
West Village,215,6096000
Battery Park City,116,2659000
Carnegie Hill,244,5485000
Inwood,96,678000
Upper West Side,227,6305000
Greenwich Village,167,5592000
SoHo,421,8694000
Morningside Heights,181,2560000
Hamilton Heights,102,827000
Harlem,37,341000
Little Italy,161,4607000
Hudson Yards,237,7224000
Washington Heights,33,162000
Gramercy Park,171,3940000
Hamilton Heights,89,879000
Hudson Yards,274,7069000
Little Italy,151,3118000
Chelsea,204,4460000
SoHo,136,3235000
Two Bridges,99,1181000
Midtown West,236,4502000
SoHo,151,4386000
Battery Park City,48,1137000
Hamilton Heights,101,762000
Battery Park City,177,3735000
Financial District,93,2528000
Chinatown,96,757000
Stuyvesant Town,132,2287000
Harlem,246,2876000
Tribeca,502,12797000
Midtown West,247,6112000
Stuyvesant Town,212,3106000
Murray Hill,200,3202000
Hudson Yards,419,15621000
Hamilton Heights,76,673000
Financial District,141,2565000
Washington Heights,204,1548000
Midtown West,280,7443000
Flatiron,198,4049000
Midtown West,284,5517000
Little Italy,197,4214000
Kips Bay,193,3533000
Carnegie Hill,379,11317000
Stuyvesant Town,131,1641000
Little Italy,139,4428000
Harlem,184,922000
Hudson Yards,511,18157000
Battery Park City,134,1795000
Two Bridges,111,1522000
Greenwich Village,335,6644000
Hell's Kitchen,37,852000
Tribeca,524,20707000
Lower East Side,264,4714000
Washington Heights,35,309000
Murray Hill,202,3867000
Inwood,45,262000
Midtown East,199,4300000
Hamilton Heights,160,1278000
Gramercy Park,207,4687000
Hamilton Heights,163,1744000
Morningside Heights,75,886000
Morningside Heights,88,622000
Chelsea,288,5596000
Hell's Kitchen,37,872000
Financial District,197,3598000
Lower East Side,158,2010000
Gramercy Park,255,6051000
Stuyvesant Town,76,1247000
Upper East Side,520,12879000
Hamilton Heights,71,889000
Nolita,220,6708000
Hell's Kitchen,184,4200000
Stuyvesant Town,42,544000
Upper East Side,220,6917000
Two Bridges,33,489000
Two Bridges,33,451000
West Village,218,6446000
Chelsea,96,2642000
Battery Park City,224,5347000
Financial District,120,2406000
Flatiron,248,4769000
West Village,149,4484000
Battery Park City,86,1947000
Flatiron,195,4522000
Greenwich Village,240,7168000
Little Italy,154,4296000
Carnegie Hill,110,3089000
Hudson Yards,157,5674000
Murray Hill,148,3366000
Hudson Yards,270,7931000
Financial District,276,5535000
SoHo,193,8100000
Chelsea,179,3571000
Gramercy Park,248,5005000
Little Italy,76,1574000
Hudson Yards,382,10875000
Chinatown,109,1398000
Greenwich Village,206,6028000
Washington Heights,90,687000
Chinatown,104,1570000
Hamilton Heights,135,1063000
Carnegie Hill,216,5938000
Chelsea,261,6748000
Morningside Heights,183,1346000
Hell's Kitchen,94,1769000
Murray Hill,134,3291000
Battery Park City,200,3893000
East Harlem,143,1252000
Murray Hill,40,738000
Upper West Side,292,7018000
Hell's Kitchen,107,1877000
Chinatown,139,1404000
Chinatown,55,749000
Lower East Side,89,1658000
Hell's Kitchen,37,941000
Harlem,99,1147000
Gramercy Park,223,4466000
Midtown West,264,7812000
Little Italy,122,3252000
Greenwich Village,349,9390000
West Village,364,12126000
Flatiron,91,2829000
Flatiron,201,4172000
Carnegie Hill,361,8755000
Upper West Side,409,9281000
Midtown West,37,836000
Midtown West,184,4068000
Washington Heights,114,915000
Hell's Kitchen,200,4751000
Kips Bay,217,4531000
Little Italy,106,2574000
Upper East Side,323,7802000
Inwood,56,387000
Nolita,202,6104000
Nolita,268,6710000
Midtown East,276,6714000
Upper East Side,427,13917000
East Harlem,214,2192000
Hamilton Heights,97,912000
SoHo,237,8666000
Chelsea,226,5205000
Financial District,207,4610000
Kips Bay,163,2849000
Morningside Heights,232,2884000
Lower East Side,279,5009000
Upper West Side,422,6126000
Tribeca,292,11504000
Hamilton Heights,111,953000
East Harlem,90,1135000
Carnegie Hill,220,5609000
Harlem,224,2886000
Gramercy Park,184,3148000
Upper West Side,254,6743000
Hell's Kitchen,242,4923000
Carnegie Hill,72,1849000
Inwood,87,725000
SoHo,303,8244000
East Harlem,122,1416000
Nolita,167,4658000
Midtown East,213,4559000
Chelsea,111,2469000
SoHo,248,8213000
Flatiron,332,7974000
Tribeca,365,13914000
Midtown East,158,4094000
Hudson Yards,282,10722000
Upper East Side,400,10429000
Greenwich Village,191,3430000
East Harlem,204,2025000
Upper West Side,421,12922000
Battery Park City,106,2453000
Upper West Side,199,3469000
Chinatown,177,1847000
Financial District,188,3086000
Washington Heights,163,1081000
Gramercy Park,167,3753000
Inwood,56,373000
Carnegie Hill,222,4075000
Hamilton Heights,79,665000
SoHo,245,7306000
Carnegie Hill,257,7882000
Financial District,168,3117000
West Village,124,3897000
Gramercy Park,194,3939000
Hamilton Heights,147,1415000
Upper East Side,323,9607000
Lower East Side,219,3058000
Morningside Heights,215,2542000
West Village,243,9058000
Carnegie Hill,266,7555000
Murray Hill,163,2494000
Greenwich Village,333,9036000
Flatiron,189,3236000
SoHo,329,9638000
Flatiron,181,5675000
Washington Heights,148,1094000
Upper East Side,301,8783000
Midtown East,275,6291000
East Harlem,127,1588000
West Village,418,10029000
Carnegie Hill,341,5099000
Tribeca,365,13698000
Midtown East,265,5679000
Hamilton Heights,83,714000
Tribeca,351,10801000
Tribeca,360,11419000
Battery Park City,243,4925000
Flatiron,289,7472000
Upper West Side,377,9405000
East Harlem,232,2675000
Inwood,152,1179000
Financial District,42,884000
Hudson Yards,502,18148000
Midtown West,172,4453000
Midtown East,158,1673000
Stuyvesant Town,102,1353000
Upper West Side,279,4997000
SoHo,313,10061000
Murray Hill,82,1696000
West Village,259,8012000
Financial District,115,1733000
Battery Park City,242,6206000
Inwood,121,933000
Upper East Side,205,5535000
Washington Heights,97,593000
Lower East Side,162,2210000
Flatiron,154,3635000
Tribeca,369,13633000
Chinatown,141,2260000
Midtown East,268,6245000
Hamilton Heights,142,1120000
Midtown East,200,4132000
Harlem,118,636000
East Harlem,119,895000
Tribeca,379,9660000
SoHo,295,9813000
Hell's Kitchen,116,2240000
Upper East Side,395,13751000
Financial District,62,1431000
East Harlem,150,1416000
Morningside Heights,83,1065000
Harlem,137,1682000
Lower East Side,121,1802000
Harlem,89,750000
Chinatown,199,3078000
Hudson Yards,371,11331000
Midtown East,316,5078000
East Harlem,218,1840000
Battery Park City,151,2532000
East Harlem,55,550000
SoHo,224,7953000
Stuyvesant Town,155,2884000
Inwood,157,1187000
Tribeca,103,3628000
Morningside Heights,155,1552000
Washington Heights,136,1054000
Harlem,99,877000
Midtown West,103,2910000
Hudson Yards,316,10723000
Morningside Heights,144,1926000
Chinatown,145,2000000
Greenwich Village,237,5957000
Murray Hill,186,3416000
Washington Heights,41,177000
Financial District,215,4242000
Financial District,171,3408000
Midtown West,220,3974000
Upper West Side,253,6040000
Greenwich Village,198,6117000
Morningside Heights,118,1201000
East Harlem,179,2367000
Midtown East,223,4140000
Little Italy,156,3220000
West Village,418,12121000
Tribeca,290,10638000
Hamilton Heights,75,693000
Upper West Side,395,6825000
Morningside Heights,214,2506000
Greenwich Village,129,3345000
Hell's Kitchen,160,3478000
Kips Bay,138,2887000
Upper West Side,353,7643000
Chelsea,167,4039000
Stuyvesant Town,127,2459000
Upper East Side,743,26641000
Gramercy Park,311,7068000
Stuyvesant Town,97,1431000
Hamilton Heights,120,917000
Greenwich Village,331,9860000
Financial District,187,3781000
Inwood,150,954000
Hell's Kitchen,268,3238000
Two Bridges,118,1567000
Stuyvesant Town,182,3001000
West Village,52,1148000
Washington Heights,138,704000
Washington Heights,72,354000
Carnegie Hill,357,8651000
Murray Hill,258,4358000
Nolita,147,4600000
Midtown West,156,4330000
Gramercy Park,363,6496000
West Village,379,11624000
Lower East Side,172,3276000
Upper East Side,455,13457000
Midtown East,208,3373000
Midtown East,78,2473000
Inwood,82,530000
SoHo,400,13297000
Nolita,108,2905000
Stuyvesant Town,42,746000
Carnegie Hill,242,5412000
Upper West Side,178,4820000
Flatiron,267,5162000
Midtown West,274,7088000
Tribeca,173,4648000
Little Italy,203,4717000
Battery Park City,325,7812000
SoHo,213,6770000
Lower East Side,136,2227000
Murray Hill,73,1024000
Upper East Side,413,15770000
Hudson Yards,472,13683000
Financial District,324,6771000
Upper East Side,226,5722000
Chinatown,138,1854000
Chinatown,108,1355000
Morningside Heights,130,1570000
Carnegie Hill,199,4963000
Stuyvesant Town,92,1306000
Upper West Side,106,2654000
Chinatown,122,907000
Financial District,202,3510000
Gramercy Park,258,6498000
Midtown West,172,3717000
Little Italy,259,4809000
Chinatown,33,394000
Morningside Heights,198,2067000
Kips Bay,119,2054000
Washington Heights,81,892000
Harlem,231,2470000
Two Bridges,175,2598000
Inwood,143,1049000
Tribeca,521,13403000
Inwood,141,886000
SoHo,218,8181000
SoHo,365,12658000
East Harlem,211,2342000
Stuyvesant Town,183,2777000
Midtown West,148,2925000
Nolita,228,7069000
SoHo,270,7731000
Upper East Side,607,13939000
Hudson Yards,200,5637000
Upper West Side,333,6769000
Harlem,219,2520000
Financial District,192,5081000
Nolita,178,4273000
Tribeca,278,10862000
Chelsea,279,4979000
Hamilton Heights,113,900000
Lower East Side,199,3758000
Hudson Yards,106,3310000
Hell's Kitchen,213,5224000
Flatiron,232,6632000
Murray Hill,212,5059000
Nolita,42,1213000
Inwood,81,626000
Lower East Side,169,3410000
Harlem,167,1769000
SoHo,203,5503000
Two Bridges,219,2129000
Hamilton Heights,108,984000
Murray Hill,139,2880000
Gramercy Park,210,4444000
Inwood,28,225000
East Harlem,55,580000
Flatiron,313,9162000
Hell's Kitchen,139,3599000
Upper East Side,500,14785000
Gramercy Park,117,2940000
Upper East Side,477,15114000
Nolita,168,3263000
Hamilton Heights,103,565000
Harlem,88,720000
SoHo,367,13828000
Tribeca,328,15328000
Little Italy,127,4119000
Morningside Heights,188,2876000
Upper West Side,145,3693000
Upper East Side,93,3148000
Morningside Heights,59,610000
Harlem,194,1516000
Washington Heights,108,852000
Midtown East,90,2347000
Battery Park City,173,3919000
Tribeca,557,18655000
Little Italy,279,6381000
Hudson Yards,205,3824000
Midtown West,110,2510000
Kips Bay,181,3838000
Battery Park City,151,4180000
Financial District,107,1906000
Lower East Side,155,2547000
Upper East Side,459,14144000
Morningside Heights,88,1294000
Tribeca,150,5703000
Carnegie Hill,233,6635000
West Village,170,4278000
Hudson Yards,430,17660000
Lower East Side,257,4790000
Greenwich Village,106,2149000
Carnegie Hill,284,8025000
Gramercy Park,284,6755000
West Village,156,5843000
Harlem,242,2147000
Hamilton Heights,141,1099000
Stuyvesant Town,158,2766000
Financial District,372,6605000
East Harlem,163,1293000
Hamilton Heights,115,956000
Chelsea,198,5354000
East Harlem,66,694000
Morningside Heights,175,2097000
Greenwich Village,256,7322000
Battery Park City,211,3685000
Tribeca,441,12160000
Murray Hill,142,3173000
Harlem,94,1177000
Two Bridges,214,3232000
Flatiron,46,1086000
Murray Hill,70,619000
SoHo,231,6517000
Battery Park City,290,5018000
Chelsea,129,2732000
Gramercy Park,118,2342000
Upper West Side,152,3004000
Hamilton Heights,86,630000
Two Bridges,181,2309000
Kips Bay,155,3315000
Hudson Yards,65,2322000
Washington Heights,188,1236000
Upper West Side,214,4053000
Carnegie Hill,161,3102000
Midtown East,334,9102000
Flatiron,170,4339000
Nolita,88,2077000
Nolita,237,4607000
Little Italy,193,4750000
Hamilton Heights,133,870000
Murray Hill,58,1049000
Little Italy,210,4792000
Morningside Heights,171,2463000
Harlem,69,656000
Upper East Side,404,11440000
West Village,418,11684000
Inwood,65,388000
Tribeca,178,3584000
Murray Hill,235,3470000
Upper East Side,367,8724000
Upper West Side,393,9070000
Financial District,280,4341000
Financial District,287,6409000
Flatiron,46,1167000
Hell's Kitchen,74,1645000
Hamilton Heights,95,807000
West Village,298,5687000
SoHo,417,12442000
Chelsea,223,5202000
Stuyvesant Town,126,1348000
Chelsea,310,9286000
East Harlem,185,1970000
Flatiron,78,1880000
Kips Bay,241,4217000
East Harlem,193,2132000
Chelsea,88,1541000
Two Bridges,89,1229000
East Harlem,136,1188000
Carnegie Hill,159,4312000
Gramercy Park,249,3196000
Greenwich Village,217,7119000
Midtown West,186,3744000
Financial District,251,4583000
Chinatown,113,974000
Hudson Yards,265,9810000
SoHo,229,7324000
Tribeca,557,22535000
Midtown West,90,1479000
Gramercy Park,86,1433000
Flatiron,321,10217000
Chinatown,137,1732000
Morningside Heights,87,807000
Morningside Heights,129,1116000
Stuyvesant Town,90,1164000
Two Bridges,177,2671000
Flatiron,174,3393000
Hamilton Heights,79,721000
Midtown West,230,6009000
Gramercy Park,153,3493000
Upper East Side,542,13586000
Stuyvesant Town,125,2052000
Stuyvesant Town,166,2498000
Financial District,239,5957000
Lower East Side,253,5140000
Carnegie Hill,262,6543000
Harlem,195,1770000
Financial District,42,902000
Morningside Heights,38,629000
Upper East Side,207,6157000
Upper East Side,384,14285000
West Village,324,9925000
Upper East Side,218,6404000
Two Bridges,217,2305000
Greenwich Village,176,4997000
Murray Hill,210,3484000
Little Italy,106,2789000
Financial District,42,1055000
Two Bridges,88,1147000
Washington Heights,167,1217000
Kips Bay,130,2604000
Kips Bay,63,1644000
Battery Park City,80,1649000
Battery Park City,140,2668000
Midtown East,264,7227000
Upper East Side,360,9472000
East Harlem,155,1810000
Chelsea,132,2941000
East Harlem,119,1211000
Greenwich Village,267,6286000
Inwood,138,957000
East Harlem,82,898000
Nolita,244,6842000
Hudson Yards,220,8497000
Little Italy,126,3893000
Two Bridges,132,1831000
Chelsea,194,4460000
Hudson Yards,279,9353000
Midtown East,170,4909000
SoHo,250,7749000
Chelsea,232,4571000
Hell's Kitchen,193,4094000
Harlem,198,2445000
Hamilton Heights,107,851000
SoHo,199,5133000
Little Italy,179,5304000
Upper West Side,175,4183000
Flatiron,267,6859000
Carnegie Hill,219,5985000
West Village,291,7033000
West Village,268,8850000
Upper East Side,376,9817000
Little Italy,135,2643000
Stuyvesant Town,107,2107000
Tribeca,557,10923000
Midtown West,260,5131000
Nolita,194,5519000
Hell's Kitchen,182,2809000
Nolita,204,6772000
Two Bridges,170,2166000
SoHo,330,7839000
Hudson Yards,65,1837000
Harlem,162,1891000
Midtown West,232,7528000
Inwood,111,734000
West Village,182,6014000
Little Italy,279,7707000
Battery Park City,89,1977000
Little Italy,232,5269000
Lower East Side,160,2004000
Washington Heights,86,782000
Little Italy,151,4181000
Morningside Heights,191,1848000
Chinatown,222,2875000
Hamilton Heights,117,792000
Financial District,284,6029000
Kips Bay,144,3394000
Battery Park City,171,4955000
Hudson Yards,240,6483000
Stuyvesant Town,116,2080000
Greenwich Village,152,4323000
Greenwich Village,93,3280000
Murray Hill,260,4672000
Upper West Side,291,5843000
Battery Park City,144,3329000
Little Italy,149,3135000
Hudson Yards,260,8976000
Upper West Side,308,5366000
Greenwich Village,184,4413000
Hudson Yards,227,8532000
Financial District,49,951000
Midtown East,133,3176000
Upper West Side,421,9857000
Washington Heights,95,424000
Upper West Side,306,6478000
Greenwich Village,201,4185000
Two Bridges,55,692000
Greenwich Village,180,4251000
Midtown West,191,4018000
Greenwich Village,67,1931000
West Village,204,6037000
Nolita,222,6005000
Chelsea,151,3934000
Morningside Heights,232,2150000
Gramercy Park,179,5088000
Hamilton Heights,110,1102000
Battery Park City,325,5638000
Little Italy,200,5030000
Kips Bay,247,5261000
Little Italy,193,4594000
Upper East Side,391,12543000
Murray Hill,37,791000
Hell's Kitchen,190,3973000
Murray Hill,205,2159000
Kips Bay,143,3063000
Murray Hill,138,2905000
Tribeca,376,13385000
Inwood,73,542000
Chelsea,250,4619000
East Harlem,232,2197000
Hamilton Heights,164,1130000
Upper East Side,46,1495000
Morningside Heights,138,1944000
Hamilton Heights,68,423000
Financial District,115,2642000
Nolita,210,8626000
Midtown East,196,3585000
SoHo,391,13721000
Tribeca,317,12059000
Battery Park City,131,2331000
Upper East Side,448,8492000
Upper West Side,393,10948000
Tribeca,224,8419000
Tribeca,357,12355000
Morningside Heights,202,2006000
Lower East Side,265,4096000
Two Bridges,147,1919000
Financial District,167,3810000
Tribeca,248,9529000
Washington Heights,165,1107000
Murray Hill,139,2442000
Gramercy Park,174,4018000
Tribeca,182,6425000
Tribeca,299,10865000
Stuyvesant Town,135,1847000
Carnegie Hill,395,12770000
Two Bridges,174,2981000
Tribeca,547,15494000
East Harlem,39,305000
Harlem,129,1650000
Upper West Side,363,7939000
Financial District,158,3550000
Harlem,208,2059000
West Village,165,6298000
Murray Hill,101,2071000
Morningside Heights,48,461000
Battery Park City,216,3497000
Hudson Yards,333,8431000
Murray Hill,163,2473000
Flatiron,75,1120000
Upper East Side,683,17338000
Tribeca,308,9610000
Inwood,119,843000
Hell's Kitchen,70,1657000
Harlem,172,1907000
Financial District,192,3591000
Midtown East,154,2886000
Kips Bay,213,4067000
Inwood,111,584000
Lower East Side,131,1931000
Flatiron,297,7846000
Kips Bay,191,1924000
Upper East Side,525,17071000
Chelsea,136,3622000
Inwood,139,886000
Murray Hill,127,3126000
Chelsea,227,5308000
Hamilton Heights,147,1307000
SoHo,272,9248000
Hamilton Heights,126,935000
Nolita,197,6576000
Gramercy Park,242,5116000
Chelsea,54,1646000
Flatiron,235,6578000
Battery Park City,93,2270000
Lower East Side,172,3127000
Midtown East,412,7312000
West Village,333,8806000
Stuyvesant Town,156,2471000
Morningside Heights,184,2261000
SoHo,235,6718000
Gramercy Park,246,5292000
Washington Heights,82,576000
Kips Bay,138,1624000
Murray Hill,148,2157000
Tribeca,230,9871000
Hudson Yards,296,9034000
Financial District,190,4726000
Nolita,284,4833000
Hamilton Heights,115,673000
Flatiron,194,3887000
Gramercy Park,279,4356000
SoHo,395,11117000
SoHo,181,3124000
Washington Heights,68,366000
Little Italy,248,6231000
Kips Bay,134,1563000
Chinatown,135,1643000
East Harlem,124,1262000
Murray Hill,103,2229000
Midtown West,289,7689000
Chelsea,69,1848000
Hell's Kitchen,175,2622000
Battery Park City,86,1418000
Morningside Heights,140,1798000
Carnegie Hill,152,2636000
Morningside Heights,102,1143000
Washington Heights,197,1115000
Gramercy Park,267,5003000
Tribeca,392,17109000
Hell's Kitchen,109,1637000
Murray Hill,114,2225000
Chinatown,113,1674000
East Harlem,167,1133000
Battery Park City,96,2470000
Flatiron,243,7369000
Chelsea,56,1497000
Two Bridges,136,1563000
Midtown East,198,6034000
Murray Hill,155,2490000
Little Italy,279,7690000
Inwood,98,571000
Flatiron,120,3189000
Chinatown,173,2564000
Gramercy Park,190,3785000
Greenwich Village,109,3053000
Washington Heights,144,1142000
Chinatown,160,1795000
Harlem,108,1193000
Gramercy Park,57,1407000
Hamilton Heights,182,1615000
Carnegie Hill,210,6678000
Financial District,270,6060000
Financial District,198,5173000
Stuyvesant Town,133,2105000
Hell's Kitchen,140,1168000
Financial District,211,4353000
Greenwich Village,173,5176000
Hell's Kitchen,149,3807000
Morningside Heights,151,2130000
Lower East Side,122,1797000
Kips Bay,113,2006000
Upper East Side,282,7369000
Upper East Side,206,4943000
SoHo,454,15378000
Carnegie Hill,153,4476000
Midtown West,245,3141000
Two Bridges,184,1660000
Inwood,103,511000
Chelsea,63,1407000
West Village,226,7637000
Midtown East,254,7187000
Nolita,132,3067000
Greenwich Village,183,5879000
East Harlem,122,1436000
Stuyvesant Town,151,2526000
Flatiron,151,3384000
SoHo,185,7151000
Little Italy,179,3583000
Upper East Side,179,5925000
Kips Bay,121,2339000
Chinatown,171,1569000
Hell's Kitchen,175,3397000
Kips Bay,279,5823000
West Village,274,7168000
Upper West Side,232,6318000
Battery Park City,198,5432000
Stuyvesant Town,194,3908000
Carnegie Hill,371,10481000
Chelsea,156,3287000
Midtown East,206,4827000
Upper East Side,223,6156000
Harlem,173,2082000
Two Bridges,65,973000
Upper West Side,461,8046000
Chelsea,170,4577000
Upper East Side,715,19142000
Inwood,152,1116000
Chinatown,98,1317000
Murray Hill,208,4712000
Chinatown,157,1944000
Stuyvesant Town,42,705000
Inwood,133,714000
Carnegie Hill,340,11338000
Kips Bay,214,5173000
Chelsea,177,3539000
Battery Park City,94,1824000
Hamilton Heights,103,871000
Inwood,177,1035000
Inwood,102,632000
Financial District,54,1316000
Greenwich Village,228,6210000
West Village,252,5007000
Little Italy,157,3458000
Chinatown,113,1073000
Chinatown,188,2645000
Murray Hill,108,1835000
West Village,318,8715000
Little Italy,85,2302000
Upper East Side,593,10639000
Upper West Side,385,7475000
SoHo,270,9710000
Morningside Heights,100,1204000
SoHo,268,8457000
Midtown West,242,4823000
Harlem,141,2228000
Midtown East,58,1344000
Tribeca,246,7460000
Lower East Side,274,4072000
Stuyvesant Town,138,1808000
Midtown West,160,3390000
Morningside Heights,215,2155000
Tribeca,312,7777000
Upper West Side,359,7748000
Hudson Yards,353,11450000
East Harlem,141,1178000
Battery Park City,68,1541000
Washington Heights,133,1005000
Flatiron,131,3562000
Tribeca,472,18318000
Hell's Kitchen,151,2849000
Hamilton Heights,154,1468000
Financial District,169,4775000
Carnegie Hill,310,7470000
East Harlem,142,1464000
Flatiron,279,6661000
Midtown West,123,3157000
East Harlem,110,1133000
Hamilton Heights,186,1529000
Lower East Side,167,2329000
Flatiron,199,4295000
East Harlem,111,1102000
Nolita,62,1471000
Gramercy Park,250,6337000
Hamilton Heights,140,828000
Financial District,168,3258000
Financial District,112,2468000
Midtown West,207,5519000
Washington Heights,41,294000
Little Italy,37,1076000
Lower East Side,125,1955000
Midtown West,140,2846000
Chinatown,144,2547000
Little Italy,120,3576000
East Harlem,110,1149000
Greenwich Village,199,4515000
Nolita,145,4513000
Chelsea,119,1957000
Financial District,42,701000
Upper East Side,506,16105000
